"Date;Rented Bike Count;Hour;Temperature(°C);Humidity(%);Wind speed (m/s);Visibility (10m);Dew point temperature(°C);Solar Radiation (MJ/m2);Rainfall(mm);Snowfall (cm);Seasons;Holiday;Functioning Day"
"01/12/2017;254;0;-52;37;22;2000;-176;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;204;1;-55;38;8;2000;-176;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;173;2;-6;39;1;2000;-177;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;107;3;-62;40;9;2000;-176;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;78;4;-6;36;23;2000;-186;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;100;5;-64;37;15;2000;-187;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;181;6;-66;35;13;2000;-195;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;460;7;-74;38;9;2000;-193;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;930;8;-76;37;11;2000;-198;1;0;0;Winter;No Holiday;Yes"
"01/12/2017;490;9;-65;27;5;1928;-224;23;0;0;Winter;No Holiday;Yes"
"01/12/2017;339;10;-35;24;12;1996;-212;65;0;0;Winter;No Holiday;Yes"
"01/12/2017;360;11;-5;21;13;1936;-202;94;0;0;Winter;No Holiday;Yes"
"01/12/2017;449;12;17;23;14;2000;-172;111;0;0;Winter;No Holiday;Yes"
"01/12/2017;451;13;24;25;16;2000;-156;116;0;0;Winter;No Holiday;Yes"
"01/12/2017;447;14;3;26;2;2000;-146;101;0;0;Winter;No Holiday;Yes"
"01/12/2017;463;15;21;36;32;2000;-114;54;0;0;Winter;No Holiday;Yes"
"01/12/2017;484;16;12;54;42;793;-7;24;0;0;Winter;No Holiday;Yes"
"01/12/2017;555;17;8;58;16;2000;-65;8;0;0;Winter;No Holiday;Yes"
"01/12/2017;862;18;6;66;14;2000;-5;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;600;19;0;77;17;2000;-35;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;426;20;-3;79;15;1913;-35;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;405;21;-8;81;8;1687;-36;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;398;22;-9;83;15;1380;-34;0;0;0;Winter;No Holiday;Yes"
"01/12/2017;323;23;-13;84;1;1265;-36;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;328;0;-18;87;11;994;-36;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;308;1;-22;86;6;990;-42;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;262;2;-29;86;15;1256;-49;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;167;3;-35;81;22;1221;-62;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;89;4;-38;79;2;1167;-69;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;79;5;-4;79;15;1202;-71;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;70;6;-43;82;21;1178;-69;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;146;7;-44;81;25;1276;-71;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;219;8;-42;79;21;1436;-73;1;0;0;Winter;No Holiday;Yes"
"02/12/2017;328;9;-29;68;16;1487;-79;3;0;0;Winter;No Holiday;Yes"
"02/12/2017;334;10;-4;57;16;1309;-78;8;0;0;Winter;No Holiday;Yes"
"02/12/2017;388;11;19;49;18;1406;-77;1;0;0;Winter;No Holiday;Yes"
"02/12/2017;479;12;43;41;13;1666;-78;109;0;0;Winter;No Holiday;Yes"
